id|password
std0001|077039bd6cc05854
std0002|6cd9061a84cd31fe
std0003|f0890c7fb6106fb7
std0004|26e8f2b8abdf7c1f
std0005|27adf740a92e173f
std0006|e7f57bcc369d318a
std0007|58ad43a0130f235f
std0008|45c516bc56d10ee4
std0009|bcba95d590f6fe13
std0010|62dd42faf3f6859d
std0011|a229eabd989af07f
std0012|fb29bf8e821e232f
std0013|8960a7e7ed8aebad
std0014|4dd9a3e7cde6cdc4
std0015|bf4275cd10403a71
std0016|4baf4659426788d1
std0017|d2bcea4f2128fe9b
std0018|af45271ac66135ec
std0019|20c339f506e67aa8
std0020|fef20d40ce2cc7c6
std0021|7724d4f0f3156c60
std0022|07c3bf2a849cd0b3
std0023|47fa75f08de29cbb
std0024|dcc8c74cc41d818d
std0025|c92bc83725c508f8
std0026|b92cb2e043c2abd1
std0027|51b6f654dc541f9a
std0028|b8f4442a24b7872d
std0029|fff466a4267e0369
std0030|159d355b732fb471
std0031|9e6211e63d0d0c14
std0032|f10415374ea264d3
std0033|ba5061bafd2d4a49
std0034|60e84d5dfd6a753a
std0035|bc901321daba503a
std0036|98a6354791bf53f4
std0037|f65e34c01c4a50a1
std0038|67993c1a2da9acad
std0039|52e478c232dce366
std0040|be260517a6165c31
std0041|95c759499704b0f8
std0042|e8158fcfeb895b20
std0043|d358705ca53cb8b7
std0044|d90d065dfa850796
std0045|def602e7a4b597bb
std0046|b3519b3630108fff
std0047|75d436cc4506b56e
std0048|82bc8cceda0a2573
std0049|dc46eec8c0e3bd08
std0050|22b2b964d0df1024
std0051|72143285757f3be7
std0052|9e923e7f67a12a6d
std0053|ad46b59aa18cc860
std0054|b7ac38e7cc5ebc58
std0055|4ce73d7bbfca65b5
std0056|55b6b932673859fd
std0057|1027f3255d3459b7
std0058|23a7fb4a1a65c8e0
std0059|1d12f5338f3b9cc3
std0060|bbe4a8bd515666f8
std0061|b1797512134dfa50
std0062|461b387179abbd76
std0063|3c40543f9df5ad62
std0064|d72e7d091a79c3c3
std0065|dcdd0fae24f42e68
std0066|5579fbd03c1f2099
std0067|06be8c3100cb4df1
std0068|c0a744eb9cb028b3
std0069|f84fb14c6b19692a
std0070|1b951263e9760afe
std0071|56cd3a327b3ee7de
std0072|75977803c439150b
std0073|9794a6fb63974cef
std0074|01586f505d1580e2
std0075|e37ff54ead9553e0
std0076|8054c86be8b18639
