id|name|age|gender|address|email|contact_no
std0001|Shreya Limbu|17|Female|Pokhara|shreya.limbu816@college.edu.np|9864609649
std0002|Roshan Yadav|23|Male|Banke|roshan.yadav743@college.edu.np|9869975708
std0003|Roshan Regmi|23|Male|Solukhumbu|roshan.regmi425@college.edu.np|9813529525
std0004|Bibek Yadav|21|Male|Makwanpur|bibek.yadav40@college.edu.np|9879227712
std0005|Jyoti Tiwari|19|Female|Banke|jyoti.tiwari149@college.edu.np|9864145105
std0006|Garima Rijal|17|Female|Makwanpur|garima.rijal319@college.edu.np|9857347776
std0007|Pradeep Vaidya|24|Male|Makwanpur|pradeep.vaidya654@college.edu.np|9867362068
std0008|Priyank Bhandari|20|Female|KTM|priya@gamil.com|9870996699
std0009|Shyam Rijal|20|Male|Pokhara|shyam.rijal471@college.edu.np|9861083641
std0010|Manju Baral|22|Female|Jumla|manju.baral508@college.edu.np|9876081503
std0011|Padma Limbu|20|Female|Dharan|padma.limbu495@college.edu.np|9856030140
std0012|Ekta Tiwari|18|Female|Butwal|ekta.tiwari731@college.edu.np|9821201301
std0013|Sabita Limbu|25|Female|Damak|sabita.limbu650@college.edu.np|9880081020
std0014|Kriti Khadka|19|Female|Bhaktapur|kriti.khadka982@college.edu.np|9877055299
std0015|Bikash Ghimire|17|Male|Solukhumbu|bikash.ghimire224@college.edu.np|9863051564
std0016|Dipak Basnet|24|Male|Dharan|dipak.basnet512@college.edu.np|9810257953
std0017|Nabin Shrestha|17|Male|Kathmandu|nabin.shrestha135@college.edu.np|9820554368
std0018|Anil Poudel|21|Male|Taplejung|anil.poudel852@college.edu.np|9898861443
std0019|Nabin Tamang|20|Male|Jumla|nabin.tamang178@college.edu.np|9869189736
std0020|Pramila Bhandari|17|Female|Lalitpur|pramila.bhandari693@college.edu.np|9867746131
std0021|Aashish Luitel|25|Male|Birgunj|aashish.luitel788@college.edu.np|9861260209
std0022|Zara Regmi|24|Female|Jumla|zara.regmi833@college.edu.np|9818026438
std0023|Sagar Aryal|25|Male|Nuwakot|sagar.aryal672@college.edu.np|9892810376
std0024|Farmila Gautam|19|Female|Sindhupalchok|farmila.gautam430@college.edu.np|9825585685
std0025|Radha Ojha|17|Female|Hetauda|radha.ojha532@college.edu.np|9856361239
std0026|Rita Yadav|18|Female|Bhaktapur|rita.yadav895@college.edu.np|9898836879
std0027|Rajesh Bhandari|17|Male|Banke|rajesh.bhandari474@college.edu.np|9874226029
std0028|Prakash Sapkota|25|Male|Pokhara|prakash.sapkota869@college.edu.np|9898281447
std0029|Garima Adhikari|17|Female|Banke|garima.adhikari310@college.edu.np|9847487712
std0030|Bibek Thapa|24|Male|Banke|bibek.thapa198@college.edu.np|9817111792
std0031|Suman Ojha|21|Male|Taplejung|suman.ojha751@college.edu.np|9899268846
std0032|Ramesh Karki|25|Male|Butwal|ramesh.karki432@college.edu.np|9894227238
std0033|Aarav Ojha|24|Male|Sindhupalchok|aarav.ojha602@college.edu.np|9812253495
std0034|Lina Ojha|19|Female|Solukhumbu|lina.ojha500@college.edu.np|9859245567
std0035|Anisha Rai|23|Female|Bhaktapur|anisha.rai797@college.edu.np|9882459902
std0036|Sanjay Chaudhary|23|Male|Butwal|sanjay.chaudhary606@college.edu.np|9896858094
std0037|Roshan Pandey|18|Male|Taplejung|roshan.pandey119@college.edu.np|9865120951
std0038|Sarita Karki|17|Female|Chitwan|sarita.karki834@college.edu.np|9839585027
std0039|Gokul Tamang|19|Male|Solukhumbu|gokul.tamang413@college.edu.np|9810835799
std0040|Gokul Ghimire|21|Male|Solukhumbu|gokul.ghimire938@college.edu.np|9854136665
std0041|Pooja Ojha|18|Female|Itahari|pooja.ojha131@college.edu.np|9850847389
std0042|Shreya Oli|22|Female|Biratnagar|shreya.oli128@college.edu.np|9838278614
std0043|Ishwor Shrestha|22|Male|Jumla|ishwor.shrestha545@college.edu.np|9874335255
std0044|Ramesh Rijal|20|Male|Kathmandu|ramesh.rijal9@college.edu.np|9831056472
std0045|Anisha Sharma|24|Female|Nepalgunj|anisha.sharma844@college.edu.np|9824234054
std0046|Samir Bhandari|17|Male|Butwal|samir.bhandari8@college.edu.np|9872505249
std0047|Bishal Sapkota|22|Male|Jumla|bishal.sapkota37@college.edu.np|9815330547
std0048|Sita Vaidya|24|Female|Jumla|sita.vaidya104@college.edu.np|9897663204
std0049|Vandana Joshi|17|Female|Birgunj|vandana.joshi299@college.edu.np|9826270604
std0050|Deepak Luitel|22|Male|Makwanpur|deepak.luitel558@college.edu.np|9899019886
std0051|Suman Wagle|20|Male|Makwanpur|suman.wagle694@college.edu.np|9888538200
std0052|Bimal Karki|19|Male|Kathmandu|bimal.karki312@college.edu.np|9843966347
std0053|Rabin Neupane|21|Male|Solukhumbu|rabin.neupane80@college.edu.np|9877964076
std0054|Bikash Ojha|21|Male|Biratnagar|bikash.ojha450@college.edu.np|9890337730
std0055|Namrata Gautam|21|Female|Birgunj|namrata.gautam315@college.edu.np|9891646617
std0056|Sanju Adhikari|20|Female|Chitwan|sanju.adhikari414@college.edu.np|9827905686
std0057|Manju Regmi|21|Female|Nuwakot|manju.regmi185@college.edu.np|9888718559
std0058|Nisha Aryal|24|Female|Lalitpur|nisha.aryal532@college.edu.np|9889018317
std0059|Radha Koirala|17|Female|Kavre|radha.koirala445@college.edu.np|9835871622
std0060|Ganga Koirala|18|Female|Taplejung|ganga.koirala363@college.edu.np|9824748492
std0061|Rabin Prasad|25|Male|Janakpur|rabin.prasad817@college.edu.np|9848876269
std0062|Binita Upreti|25|Female|Banke|binita.upreti993@college.edu.np|9899297740
std0063|Nabin Ojha|25|Male|Mustang|nabin.ojha114@college.edu.np|9835872735
std0064|Uddhab Poudel|22|Male|Dharan|uddhab.poudel381@college.edu.np|9846360176
std0065|Suman Joshi|25|Male|Damak|suman.joshi8@college.edu.np|9882767523
std0066|Sanju Dhakal|18|Female|Gorkha|sanju.dhakal324@college.edu.np|9890213724
std0067|Tanka Ghimire|21|Male|Taplejung|tanka.ghimire329@college.edu.np|9836890892
std0068|Sarita Sapkota|18|Female|Bhaktapur|sarita.sapkota675@college.edu.np|9813489433
std0069|Raju Upreti|23|Male|Nepalgunj|raju.upreti21@college.edu.np|9844385598
std0070|Pradeep Tamang|23|Male|Kathmandu|pradeep.tamang190@college.edu.np|9864301096
std0071|Dipa Adhikari|22|Female|Biratnagar|dipa.adhikari482@college.edu.np|9898383753
std0072|Dipa Shrestha|22|Female|Jumla|dipa.shrestha838@college.edu.np|9820218956
std0073|Wangmo Magar|19|Female|Kathmandu|wangmo.magar747@college.edu.np|9818708421
std0074|Manisha Joshi|24|Female|Mustang|manisha.joshi490@college.edu.np|9883103720
std0075|Jamuna Khadka|24|Female|Bhaktapur|jamuna.khadka334@college.edu.np|9890304848
std0076|Rakesh Tamang|23|Male|Makwanpur|rakesh.tamang655@college.edu.np|9855171898
std0077|Naresh Bhattarai|22|Male|Butwal|naresh.bhattarai203@college.edu.np|9833716773
std0078|Jamuna Magar|23|Female|Nuwakot|jamuna.magar14@college.edu.np|9811272605
std0079|Binita Hamal|22|Female|Butwal|binita.hamal319@college.edu.np|9890330026
std0080|Uma Joshi|20|Female|Dang|uma.joshi328@college.edu.np|9811045894
std0081|Fulmaya Rai|18|Female|Hetauda|fulmaya.rai991@college.edu.np|9852732200
std0082|Bijay Adhikari|17|Male|Biratnagar|bijay.adhikari683@college.edu.np|9882215616
std0083|Rakesh Pandey|20|Male|Biratnagar|rakesh.pandey108@college.edu.np|9837172978
std0084|Amit Limbu|25|Male|Gorkha|amit.limbu611@college.edu.np|9873771893
std0085|Priya Rijal|21|Female|Nepalgunj|priya.rijal757@college.edu.np|9872427014
std0086|Suman Gurung|19|Male|Makwanpur|suman.gurung226@college.edu.np|9889629022
std0087|Binita Sharma|18|Female|Gorkha|binita.sharma498@college.edu.np|9832471507
std0088|Ganesh Aryal|25|Male|Biratnagar|ganesh.aryal224@college.edu.np|9874859545
std0089|Naresh Shrestha|25|Male|Banke|naresh.shrestha507@college.edu.np|9858356721
std0090|Parbati Oli|24|Female|Itahari|parbati.oli384@college.edu.np|9892988020
